instance,dod,edod_target,edod_realised,seed,n_edges_blocked,n_triggered_edges,enabled_stages,wall_time_total_s,reroute_time_total_s,reroute_time_s1_s,reroute_time_s2_s,reroute_time_s3_s,reroute_avg_s1_s,reroute_avg_s2_s,reroute_avg_s3_s,reroute_avg_total_s,cost_static,cost_dynamic,cost_degradation_pct,wasted_distance,total_execution_time_min,reroute_count,reroutes_s1,reroutes_s2,reroutes_s3,utilisation_s1_pct,utilisation_s2_pct,utilisation_s3_pct,unserved_count,unserved_rate_pct,total_customers,unserved_stage3_fallback,capacity_violations,capacity_excess_pct,duration_violations,duration_excess_pct,fully_feasible,feasible_hard,feasible_soft,operation_verdict
p01,0.05,0.25,0.4117,42,1,0,"[1, 2, 3]",0.016,2.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.05,0.25,0.105,153,1,1,"[1, 2, 3]",0.0171,0.001838,0.0,0.001838,0.0,0.0,0.001838,0.0,0.001838,611.4344770052209,619.8757054769554,1.3805614156858377,0.0,93.99748942203257,1,0,1,0,0.0,100.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.05,0.25,0.2317,264,1,1,"[1, 2, 3]",0.0154,0.00022,0.00022,0.0,0.0,0.00022,0.0,0.0,0.00022,611.4344770052209,612.2998497887794,0.14153156488608545,5.1092611342030025,81.39748942203258,1,1,0,0,100.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.05,0.25,0.0933,375,1,1,"[1, 2, 3]",0.0173,0.001601,0.0,0.001601,0.0,0.0,0.001601,0.0,0.001601,611.4344770052209,624.9214517995699,2.2057923296062194,0.0,81.39748942203258,1,0,1,0,0.0,100.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.05,0.25,0.1175,486,1,1,"[1, 2, 3]",0.0153,0.001126,0.0,0.001126,0.0,0.0,0.001126,0.0,0.001126,611.4344770052209,617.2946207223426,0.9584254629906565,9.585728421269469,95.49748942203257,1,0,1,0,0.0,100.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.05,0.5,0.6408,42,1,0,"[1, 2, 3]",0.0134,1.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.05,0.5,0.2283,153,1,1,"[1, 2, 3]",0.0204,0.000877,0.0,0.000877,0.0,0.0,0.000877,0.0,0.000877,611.4344770052209,619.8757054769554,1.3805614156858377,0.0,81.39748942203258,1,0,1,0,0.0,100.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.05,0.5,0.6492,264,1,0,"[1, 2, 3]",0.0155,1.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.05,0.5,0.3242,375,1,0,"[1, 2, 3]",0.0134,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
p01,0.05,0.5,0.2858,486,1,0,"[1, 2, 3]",0.0187,1.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.4344770052209,611.4344770052209,0.0,0.0,81.39748942203258,0,0,0,0,0.0,0.0,0.0,0,0.0,50,0,0,0.0,0,0.0,True,True,True,UNKNOWN
