f1,f2
1.405818233805121165e-01,6.250575732455553313e-01
3.823213258370319334e-01,3.816786225294875878e-01
1.421522859355734969e-01,6.237735964370102471e-01
3.829114503245407697e-01,3.812016076907270845e-01
2.516549519643933031e-01,4.983477778735617703e-01
9.667735202795191274e-01,1.684073248133468453e-02
3.901579437334046219e-03,9.375373756768573541e-01
2.571260718712089499e-01,4.929239979340286348e-01
3.801750711583479214e-01,3.834166145943048720e-01
2.540069654029407653e-01,4.961892688000780205e-01
7.405252856804532824e-01,1.400989940120133947e-01
2.576247131604277874e-01,4.924325530922735172e-01
6.050910874741546874e-02,7.560076863988962614e-01
1.433627473605685321e-01,6.213715212063954940e-01
7.853910259098706437e-03,9.116364964017308337e-01
1.000000000000000000e+00,0.000000000000000000e+00
9.665776289035624691e-01,1.688550750972206416e-02
9.753286038602920760e-01,1.343559992170114889e-02
1.979239260022108704e-02,8.597816168199921005e-01
2.531534072482031217e-01,4.968573677952771717e-01
3.802589757683465521e-01,3.833532137181923649e-01
3.846767340039605187e-01,3.803597936565494275e-01
1.662174534968999858e-03,9.592302252278848140e-01
9.627312922819638574e-01,1.887387194720892281e-02
8.643517097696239437e-01,7.029483604578955214e-02
1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
9.794278520003271149e-01,1.033952690817896425e-02
1.000000000000000000e+00,0.000000000000000000e+00
1.911913741599025052e-02,8.629542844937719837e-01
0.000000000000000000e+00,1.000000000000000000e+00
1.192132660225975194e-02,8.909396301353581515e-01
5.410223842724797283e-01,2.644577707653446574e-01
1.000000000000000000e+00,0.000000000000000000e+00
8.717145712692871973e-01,6.644386117561509875e-02
1.457012090286191053e-01,6.202857801908380209e-01
5.053165320533881122e-02,7.753914349274375617e-01
5.490510992542936286e-01,2.591749084439577966e-01
9.654351622125971477e-02,6.895527143928694702e-01
9.829780350912740161e-01,8.547512438808801960e-03
5.551472952112346260e-01,2.550722582400289928e-01
0.000000000000000000e+00,1.000000000000000000e+00
1.108500260287835076e-01,6.670585246191405027e-01
1.746386915155159758e-02,8.692286285021892933e-01
5.333807001565649131e-01,2.696711888249544997e-01
0.000000000000000000e+00,1.000000000000000000e+00
1.220833408449196189e-01,6.505957343635890844e-01
5.159196727170295427e-02,7.741396922708608797e-01
9.458537228634530392e-01,2.806523588093294899e-02
1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
3.261281438426504309e-01,4.295323451572044537e-01
8.212980907204947556e-02,7.134170118935014848e-01
8.931047137740790731e-01,5.746467895755401345e-02
8.588806895484232262e-01,7.325338738573597408e-02
6.111429003581780872e-01,2.182437078230977656e-01
7.869707153426996893e-01,1.129122634377249246e-01
9.625806164450682045e-01,2.055394955117450725e-02
5.738067255776758691e-01,2.433964859380654266e-01
4.291330925512687466e-02,7.928826168297123944e-01
7.416435736539084278e-01,1.390565003902374530e-01
7.904135035032737733e-01,1.121445825086846426e-01
6.133342243562263096e-01,2.180021485061925113e-01
2.149315330906903798e-01,5.363929108709721838e-01
6.464446192740382902e-01,1.964963288386996632e-01
4.991968471233054760e-01,2.941712103630906294e-01
0.000000000000000000e+00,1.000000000000000000e+00
1.457012090286191608e-01,6.195261141017790463e-01
5.371796705304426878e-01,2.672665153125288739e-01
1.439408100853043493e-01,6.207297602051127239e-01
2.112886225598308854e-01,5.407917620311306628e-01
6.370735734542064543e-01,2.030219783154174618e-01
7.867357926248539357e-01,1.146460914476230691e-01
5.515919672717028988e-01,2.591529829961743414e-01
1.588051587650962659e-01,6.019368660631470025e-01
9.108525899775027357e-01,4.610319397380786138e-02
4.888911604580238879e-01,3.007924768296440510e-01
5.191451447026479427e-02,7.721524315024081986e-01
6.796676234713923126e-01,1.757671430098813325e-01
1.187923041378206868e-01,6.553374053689309253e-01
3.580908887688374898e-01,4.019887906263431843e-01
3.502420024809147492e-01,4.097734376511754650e-01
3.878820449407776039e-01,3.771982298188470972e-01
5.380687951001447145e-01,2.670943012362695934e-01
3.588806895484232262e-01,4.009334938057601549e-01
4.217445343101843824e-01,3.508438738536528434e-01
2.869707153426996893e-01,4.643045666854053732e-01
5.504183160333475655e-02,7.655329631118918954e-01
4.737834256817402001e-01,3.128335257200312580e-01
5.052832661440876949e-01,2.892837151630761605e-01
5.108606077453496930e-01,2.862463997613728384e-01
7.380672557767586905e-02,7.283302372067668173e-01
4.838154466781197094e-01,3.045521186625687604e-01
6.301596812379454127e-01,2.062844039712678212e-01
6.432320213915938556e-01,1.984349661237536089e-01
6.705075636307931131e-01,1.812851898264891404e-01
2.904135035032737733e-01,4.612542474127160896e-01
1.796251281452719284e-01,5.769471059200012020e-01
7.493230648365797331e-01,1.349071794196529672e-01
1.975154409972188496e-01,5.583371981470988121e-01
