f1,f2
1.999052187041194806e-02,8.586121579823358108e-01
1.961111324996608896e-02,8.599603154460633281e-01
1.968663717097306892e-02,8.596909227064297720e-01
7.399822766070034419e-01,1.397777748703515899e-01
7.399701823748583429e-01,1.397848046129047672e-01
7.399405053767356133e-01,1.398020545381803981e-01
7.397764535523815299e-01,1.398974168435596077e-01
1.996448126534534906e-02,8.587042772574294824e-01
1.443981958419413014e-01,6.200023738995974476e-01
1.985736406888934102e-02,8.590838402847660316e-01
1.413994343484457072e-01,6.239688385938664261e-01
3.823012732412297554e-01,3.816948380926860063e-01
7.397550506556996863e-01,1.399098589940123150e-01
3.807790550902572235e-01,3.829270261223092220e-01
1.442552492875749381e-01,6.201905092186676960e-01
1.432092035167687183e-01,6.215700811024995609e-01
9.719014956439493425e-01,1.414935429145791623e-02
2.550442016524629985e-01,4.949809888207543640e-01
3.831826410944435546e-01,3.809825195566416411e-01
2.591078583014052583e-01,4.909736172835387213e-01
9.618559941367705868e-01,1.925742718245859741e-02
3.804979546274698810e-01,3.831548373963933329e-01
1.600109057296306148e-02,8.735045827985730149e-01
2.515967568263646204e-01,4.984057846960706639e-01
3.831171527078296446e-01,3.810354188583731094e-01
3.480198989918203978e-02,8.134470855248248089e-01
7.827474266424633287e-03,9.115269856598937626e-01
9.368228999393169998e-01,3.210387957213245436e-02
5.088448974919590473e-01,2.866663491100682748e-01
1.956817307952873897e-02,8.601137137546044364e-01
5.756523278369993779e-01,2.412824452821725751e-01
1.430157738452138838e-01,6.218257361411092532e-01
9.716650661121748467e-01,1.426927302017466648e-02
0.000000000000000000e+00,1.000000000000000000e+00
6.632905099086883194e-02,7.424557300368170853e-01
1.000000000000000000e+00,0.000000000000000000e+00
2.993679515355561482e-02,8.269774721212419522e-01
7.849397458672049410e-01,1.140317466933676860e-01
7.300363172321348015e-01,1.455783726800129463e-01
8.757268247755006785e-01,6.419722976713693186e-02
0.000000000000000000e+00,1.000000000000000000e+00
6.192774905232402149e-01,2.130581403157917331e-01
3.570052022952979187e-01,4.025008767409796739e-01
9.619388859535450420e-01,1.921516837099024322e-02
9.750000850408877540e-01,1.257907403129854274e-02
8.844897491959047287e-03,9.059526848232282159e-01
1.158378154058173071e-01,6.596504511449775565e-01
5.705985880397271837e-01,2.446202358814957289e-01
8.257999368151754949e-01,9.126464973834347294e-02
1.300414616228799947e-01,6.393873801114553501e-01
6.291375261047034151e-01,2.068181002413737035e-01
4.221518927976545404e-02,7.945366473558715947e-01
6.836508693089615729e-01,1.731681735026393554e-01
1.338886832587367626e-01,6.340919743176753887e-01
5.000000000000000000e-01,2.928932188134524273e-01
7.150921124901009618e-01,1.543688082325126443e-01
4.586848870203976691e-01,3.227372097771813442e-01
9.818700122126856611e-01,9.106457679390445037e-03
5.348019898991820398e-01,2.686984275285728696e-01
7.603421433646586625e-01,1.280240006945955189e-01
6.084658205580943946e-01,2.199578084756604879e-01
7.759519056946218019e-03,9.119118676725053163e-01
5.288461709033537295e-01,2.727818959188696990e-01
6.430157738452139116e-01,1.981173565631851874e-01
5.000000000000000000e-01,2.928932188134524273e-01
2.246888384543978823e-01,5.259864575200431380e-01
4.716650661121748467e-01,3.132212393265391137e-01
9.353455656097264814e-01,3.286734849363792677e-02
7.778326326107996014e-01,1.180517970930494709e-01
8.627239362393415156e-01,7.117066355581691539e-02
8.774177262074696060e-01,6.329421577131832954e-02
1.461957111341722904e-01,6.176445225524129778e-01
1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
5.277859656842421865e-01,2.735112074613661459e-01
1.000000000000000000e+00,0.000000000000000000e+00
2.849397458672049410e-01,4.662025235473616913e-01
2.589220247481754944e-02,8.390894581613200787e-01
6.859992443800856377e-01,1.717492865200261898e-01
7.914601644502654576e-01,1.103595307933291636e-01
3.498808455820181518e-01,4.084927341257605926e-01
2.266656696018859440e-01,5.239058185590943495e-01
0.000000000000000000e+00,1.000000000000000000e+00
2.300363172321348015e-01,5.203789858313807581e-01
2.541353230024450682e-01,4.958816379039094890e-01
3.757268247755006785e-01,3.870344016378238772e-01
5.382535523199855065e-01,2.663423466493479719e-01
2.061178797743299373e-01,5.459979297686738953e-01
1.000000000000000000e+00,0.000000000000000000e+00
2.562346223455244654e-01,4.938037709094185157e-01
2.627735499795783025e-01,4.873855737695452772e-01
8.216467282747286216e-02,7.133561917161425070e-01
0.000000000000000000e+00,1.000000000000000000e+00
4.198094732697902898e-01,3.520729413971119826e-01
4.619388859535450420e-01,3.203391390159757712e-01
6.066076684512408113e-01,2.211497779089738325e-01
2.069708378738794041e-01,5.450595227132681853e-01
1.248579039705490779e-01,6.466476206807868499e-01
8.797837148676701524e-02,7.033885176080214574e-01
8.028709214491737134e-01,1.039693523940301567e-01
